time,open,high,low,close,tick_volume,spread,real_volume
2022-10-11 00:00:00,0.97027,0.9705,0.96968,0.97029,1815,1,0
2022-10-11 01:00:00,0.97026,0.97088,0.97009,0.97084,1712,1,0
2022-10-11 02:00:00,0.97084,0.97113,0.97078,0.97113,2280,1,0
2022-10-11 03:00:00,0.97113,0.9723,0.96988,0.97204,5974,1,0
2022-10-11 04:00:00,0.97203,0.97213,0.96922,0.96972,8555,1,0
2022-10-11 05:00:00,0.96972,0.96999,0.9681,0.96871,7840,1,0
2022-10-11 06:00:00,0.96871,0.96959,0.96816,0.96823,5036,1,0
2022-10-11 07:00:00,0.96822,0.96853,0.96707,0.96772,4747,1,0
2022-10-11 08:00:00,0.96771,0.96876,0.96761,0.96858,4681,1,0
2022-10-11 09:00:00,0.96858,0.97028,0.96747,0.96905,11054,1,0
2022-10-11 10:00:00,0.96905,0.97248,0.96892,0.9699,15271,1,0
2022-10-11 11:00:00,0.96991,0.97199,0.96969,0.97076,10835,1,0
2022-10-11 12:00:00,0.97077,0.9719,0.96974,0.96993,9324,1,0
2022-10-11 13:00:00,0.96992,0.97194,0.96919,0.97175,9564,1,0
2022-10-11 14:00:00,0.97175,0.9738,0.97148,0.97248,11054,1,0
2022-10-11 15:00:00,0.97247,0.97325,0.97175,0.97198,11149,1,0
2022-10-11 16:00:00,0.97199,0.97215,0.96993,0.9702,13532,1,0
2022-10-11 17:00:00,0.9702,0.97199,0.96907,0.97074,16126,1,0
2022-10-11 18:00:00,0.97074,0.97629,0.97073,0.97562,11969,1,0
2022-10-11 19:00:00,0.97561,0.97746,0.97435,0.97654,10237,1,0
2022-10-11 20:00:00,0.97656,0.97667,0.97488,0.97524,7549,1,0
2022-10-11 21:00:00,0.97523,0.9753,0.97064,0.97089,9620,1,0
2022-10-11 22:00:00,0.97089,0.97145,0.96938,0.97104,13218,1,0
2022-10-11 23:00:00,0.97103,0.9712,0.97022,0.97055,2845,1,0
2022-10-12 00:00:00,0.97045,0.97075,0.97009,0.97035,857,1,0
2022-10-12 01:00:00,0.97035,0.97179,0.97033,0.97134,1984,1,0
2022-10-12 02:00:00,0.97134,0.97142,0.96991,0.97006,2552,1,0
2022-10-12 03:00:00,0.97005,0.97103,0.96903,0.97032,7970,1,0
2022-10-12 04:00:00,0.97032,0.97121,0.96829,0.96909,8553,1,0
2022-10-12 05:00:00,0.96909,0.96994,0.96827,0.96994,5896,1,0
2022-10-12 06:00:00,0.96995,0.97005,0.96933,0.96982,4105,1,0
2022-10-12 07:00:00,0.96982,0.97348,0.96969,0.9715,9850,1,0
2022-10-12 08:00:00,0.9715,0.97241,0.97063,0.97209,6551,1,0
2022-10-12 09:00:00,0.97209,0.9733,0.97151,0.97215,11538,1,0
2022-10-12 10:00:00,0.97215,0.97263,0.96959,0.97074,17182,1,0
2022-10-12 11:00:00,0.97074,0.97246,0.97017,0.97038,11006,1,0
2022-10-12 12:00:00,0.97037,0.97169,0.96975,0.97087,9607,1,0
2022-10-12 13:00:00,0.97087,0.97169,0.97048,0.97162,6730,1,0
2022-10-12 14:00:00,0.97162,0.97199,0.9702,0.9708,7790,1,0
2022-10-12 15:00:00,0.9708,0.97116,0.96872,0.97053,13538,1,0
2022-10-12 16:00:00,0.97053,0.97112,0.96902,0.96906,12426,1,0
2022-10-12 17:00:00,0.96905,0.97059,0.96678,0.97013,15817,1,0
2022-10-12 18:00:00,0.97013,0.97096,0.96894,0.96906,10777,1,0
2022-10-12 19:00:00,0.96906,0.96949,0.96802,0.96836,6397,1,0
2022-10-12 20:00:00,0.96836,0.96965,0.96807,0.96907,5017,0,0
2022-10-12 21:00:00,0.96907,0.97202,0.96849,0.96977,14692,1,0
2022-10-12 22:00:00,0.96977,0.97065,0.96914,0.97011,4957,1,0
2022-10-12 23:00:00,0.97011,0.97039,0.96966,0.97024,1636,1,0
2022-10-13 00:00:00,0.97017,0.9705,0.96981,0.97048,559,1,0
2022-10-13 01:00:00,0.97047,0.97099,0.97046,0.97078,1736,1,0
2022-10-13 02:00:00,0.97078,0.97096,0.97039,0.9705,2019,1,0
2022-10-13 03:00:00,0.9705,0.97219,0.96977,0.97145,5222,1,0
2022-10-13 04:00:00,0.97146,0.97148,0.97008,0.97051,5480,1,0
2022-10-13 05:00:00,0.97051,0.97063,0.96962,0.96984,4358,1,0
2022-10-13 06:00:00,0.96983,0.97035,0.9695,0.97005,3158,1,0
2022-10-13 07:00:00,0.97005,0.97061,0.96975,0.9704,1960,0,0
2022-10-13 08:00:00,0.9704,0.97069,0.96963,0.96972,3658,1,0
2022-10-13 09:00:00,0.96973,0.97091,0.96886,0.96897,6838,1,0
2022-10-13 10:00:00,0.96898,0.97068,0.96854,0.97058,9445,1,0
2022-10-13 11:00:00,0.97058,0.97142,0.96981,0.9714,6253,1,0
2022-10-13 12:00:00,0.97139,0.97441,0.9711,0.97262,9103,1,0
2022-10-13 13:00:00,0.97262,0.97356,0.97177,0.97251,6661,1,0
2022-10-13 14:00:00,0.9725,0.97532,0.9721,0.97447,14860,1,0
2022-10-13 15:00:00,0.97446,0.97484,0.96315,0.96682,21421,1,0
2022-10-13 16:00:00,0.96681,0.9702,0.96453,0.96941,27909,1,0
2022-10-13 17:00:00,0.96942,0.97259,0.96756,0.97181,25416,1,0
2022-10-13 18:00:00,0.9718,0.97992,0.97108,0.97791,26966,1,0
2022-10-13 19:00:00,0.97791,0.9799,0.97641,0.97745,17691,1,0
2022-10-13 20:00:00,0.97745,0.9806,0.97683,0.97965,13391,1,0
2022-10-13 21:00:00,0.97965,0.98004,0.97815,0.97867,10471,1,0
2022-10-13 22:00:00,0.97867,0.97892,0.97712,0.97748,8572,1,0
2022-10-13 23:00:00,0.97747,0.97809,0.97733,0.97741,1909,1,0
2022-10-14 00:00:00,0.97697,0.9779,0.97697,0.9777,700,1,0
2022-10-14 01:00:00,0.9777,0.97789,0.97689,0.97769,1550,1,0
2022-10-14 02:00:00,0.97768,0.97776,0.9767,0.97674,1970,1,0
2022-10-14 03:00:00,0.97674,0.97787,0.97619,0.97681,7440,1,0
2022-10-14 04:00:00,0.97681,0.98088,0.97678,0.97998,8477,1,0
2022-10-14 05:00:00,0.97998,0.98021,0.979,0.97904,5896,1,0
2022-10-14 06:00:00,0.97904,0.97974,0.97846,0.97872,4816,1,0
2022-10-14 07:00:00,0.97872,0.97899,0.97789,0.97818,4407,1,0
2022-10-14 08:00:00,0.97818,0.97865,0.97751,0.9776,5633,1,0
2022-10-14 09:00:00,0.97759,0.97971,0.97756,0.97884,12296,1,0
2022-10-14 10:00:00,0.97884,0.97884,0.97526,0.97678,14267,1,0
2022-10-14 11:00:00,0.97678,0.97678,0.97449,0.97504,11205,1,0
2022-10-14 12:00:00,0.97504,0.97539,0.97189,0.973,11086,1,0
2022-10-14 13:00:00,0.973,0.97578,0.97246,0.9734,13466,1,0
2022-10-14 14:00:00,0.97341,0.97417,0.97091,0.97187,9850,1,0
2022-10-14 15:00:00,0.97187,0.97768,0.97146,0.9773,15426,1,0
2022-10-14 16:00:00,0.9773,0.97997,0.97304,0.97364,22901,1,0
2022-10-14 17:00:00,0.97286,0.97542,0.97072,0.97535,25327,1,0
2022-10-14 18:00:00,0.97535,0.97687,0.97338,0.97387,13578,1,0
